"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000117519",4483.62709360346,-2.42271923982668,0.0600016215412234,-40.3775627657359,0,0,"CNN3","1266"
"ENSG00000183508",2053.88135557663,3.20195534801528,0.0724172012048715,44.2153976505776,0,0,"TENT5C","54855"
"ENSG00000159176",5692.46278267679,-2.31373756504265,0.0575533659514462,-40.2016029261363,0,0,"CSRP1","1465"
"ENSG00000150938",7442.98631416393,-2.05963137024966,0.0538449071469776,-38.2511825051085,0,0,"CRIM1","51232"
"ENSG00000116016",4423.94665216876,-1.88801937253936,0.0431679914554641,-43.7365582433272,0,0,"EPAS1","2034"
"ENSG00000136068",3796.1265394147,-1.6497920067325,0.0439354367472951,-37.5503722933645,0,0,"FLNB","2317"
"ENSG00000164251",2348.7701339719,3.34450833214979,0.0690717570320987,48.4207797203645,0,0,"F2RL1","2150"
"ENSG00000124766",2576.65254960143,2.39228794578303,0.061708614920763,38.7674873087794,0,0,"SOX4","6659"
"ENSG00000124762",28106.1191885778,1.83225777686571,0.038896641039611,47.1058098564297,0,0,"CDKN1A","1026"
"ENSG00000106366",43719.1260988373,-1.84404649934629,0.0419164992747793,-43.9933327269968,0,0,"SERPINE1","5054"
"ENSG00000188153",2944.12640623352,2.26608046262948,0.0552681284921723,41.0015776624393,0,0,"COL4A5","1287"
"ENSG00000122861",28007.1433373973,2.26252546550042,0.0552183307901942,40.9741734877325,0,0,"PLAU","5328"
"ENSG00000148773",1840.19727265675,-3.196058325696,0.0757850348989869,-42.1726839600456,0,0,"MKI67","4288"
"ENSG00000059804",3443.39680712992,2.07976295761528,0.0543254346265083,38.2834112955344,0,0,"SLC2A3","6515"
"ENSG00000123416",4420.07398793879,-1.93841810361892,0.0505768627131936,-38.3261831523856,0,0,"TUBA1B","10376"
"ENSG00000139289",12942.9106281238,2.0373620504396,0.0462973430589641,44.0060253100231,0,0,"PHLDA1","22822"
"ENSG00000125257",6050.78726438958,1.95054949491629,0.0435953841083815,44.742110542416,0,0,"ABCC4","10257"
"ENSG00000211448",1884.75741158654,2.52372169455756,0.0653981296546595,38.5901203579413,0,0,"DIO2","1734"
"ENSG00000128917",1307.34250385583,3.8582531145849,0.0865185430493036,44.5945224989079,0,0,"DLL4","54567"
"ENSG00000138623",2851.61916336974,-2.40668774847487,0.0581377315994288,-41.3963132420962,0,0,"SEMA7A","8482"
"ENSG00000131747",1743.84285765667,-2.92418912759374,0.0696221032201391,-42.0008731759755,0,0,"TOP2A","7153"
"ENSG00000167601",8245.06804500101,-2.14234576631294,0.0404435481969231,-52.9712614699798,0,0,"AXL","558"
"ENSG00000198743",1999.10327890814,2.53453041318334,0.0670975515312763,37.7738137285369,0,0,"SLC5A3","6526"
"ENSG00000074800",18390.4756149844,-1.33893117834752,0.0358590271904365,-37.3387479598054,3.86076293726103e-305,2.37083017372305e-302,"ENO1","2023"
"ENSG00000181104",14922.5173336984,1.66815955567914,0.0447581295674487,37.2705377056761,4.92667707038868e-304,2.90437466653554e-301,"F2R","2149"
"ENSG00000115963",13232.3301349766,1.80533073537456,0.0488625138534124,36.9471521827665,8.0922309344358e-299,4.5870499812198e-296,"RND3","390"
"ENSG00000104368",13214.4968037918,2.02763709005177,0.0550460851710175,36.835264192763,5.035162921745e-297,2.74845300521029e-294,"PLAT","5327"
"ENSG00000157680",1359.06349386339,2.5449370237062,0.0693613891171946,36.690975427355,1.01726211416697e-294,5.35443179949742e-292,"DGKI","9162"
"ENSG00000074416",2392.80973934457,-2.14808670766457,0.0589063478178114,-36.466132891285,3.81870792605329e-291,1.94069370393701e-288,"MGLL","11343"
"ENSG00000104081",804.838487338128,4.43413656937962,0.12163638430902,36.4540313703717,5.93855588358099e-291,2.91741455374055e-288,"BMF","90427"
"ENSG00000166073",2268.80918089117,-2.20667084197543,0.0608219603300755,-36.2808240642035,3.24647707999741e-288,1.54343803887103e-285,"GPR176","11245"
"ENSG00000165434",1243.14971044106,2.51723600337688,0.0694013568101048,36.2707030392002,4.6879572017491e-288,2.15909728873057e-285,"PGM2L1","283209"
"ENSG00000091527",2814.15907315816,-1.81023338575905,0.0499749026867997,-36.222849639229,2.65982817548087e-287,1.18789538334052e-284,"CDV3","55573"
"ENSG00000033867",3157.52042924196,1.93501315030905,0.0535351844187935,36.1446994405004,4.50686653520351e-286,1.95359408811263e-283,"SLC4A7","9497"
"ENSG00000117724",1324.17284690485,-2.82511200622637,0.0781715112143679,-36.1399180128312,5.35776043328079e-286,2.21229818556137e-283,"CENPF","1063"
"ENSG00000101825",1024.97040543336,3.28766304155908,0.0909710035947926,36.1396809053921,5.40390383228452e-286,2.21229818556137e-283,"MXRA5","25878"
"ENSG00000198959",5110.85796803933,-1.74624587696819,0.0487932039127957,-35.7887110690481,1.65483773518894e-280,6.5916212273553e-278,"TGM2","7052"
"ENSG00000164938",1395.9221058483,2.3177820205721,0.0656155290168534,35.3236810752037,2.5430477344853e-273,9.86300987127484e-271,"TP53INP1","94241"
"ENSG00000073712",2356.74691021857,-2.30515285904051,0.0653960001146971,-35.2491414612137,3.53644744780392e-272,1.33641442271113e-269,"FERMT2","10979"
"ENSG00000143799",1043.84682510942,-2.61747584697613,0.0743747822247744,-35.1930556121244,2.55367280496361e-271,9.40900744988842e-269,"PARP1","142"
"ENSG00000196549",1520.30148791169,2.83743506770689,0.0806594351553823,35.1779684824331,4.34405880805906e-271,1.56153021251645e-268,"MME","4311"
"ENSG00000110002",899.504360793506,4.43907473642709,0.126316442577238,35.1424932958571,1.51368505296164e-270,5.31159293108301e-268,"VWA5A","4013"
"ENSG00000088325",1049.74978195443,-3.0120401408809,0.0861136721791666,-34.9774903875207,4.94845906648569e-268,1.69605557492712e-265,"TPX2","22974"
"ENSG00000133318",1500.97300012898,-2.41401849885073,0.0690680719388067,-34.951294152087,1.23760070821145e-267,4.14539982673191e-265,"RTN3","10313"
"ENSG00000154864",1374.01910088605,2.35786042992097,0.0676832760483565,34.8366770579543,6.7755197878037e-266,2.21905801405891e-263,"PIEZO2","63895"
"ENSG00000197321",4211.22514661471,1.73283927596072,0.0497514627607733,34.8299161432291,8.57640482837934e-266,2.74780552957945e-263,"SVIL","6840"
"ENSG00000182752",6930.41939676306,2.01487019572904,0.0588365429526392,34.2452172513079,5.13832649628874e-257,1.61124799792135e-254,"PAPPA","5069"
"ENSG00000198901",744.768135087352,-3.17652098959607,0.09287012866305,-34.203904262059,2.11544739136314e-256,6.49530492789791e-254,"PRC1","9055"
"ENSG00000277443",2830.20102519863,-1.92971757637325,0.0569242452764808,-33.899748112612,6.71883756086061e-252,2.0208617953462e-249,"MARCKS","4082"
"ENSG00000168542",62749.3849250663,1.40989019840435,0.0418063482127406,33.724308835343,2.54542430125624e-249,7.50289267038289e-247,"COL3A1","1281"
"ENSG00000146072",1758.22981855472,2.05910888556673,0.0611321274507654,33.6829253525504,1.02809855514183e-248,2.9710032364079e-246,"TNFRSF21","27242"
"ENSG00000145632",3262.15452178144,1.5467496154586,0.0460243816631465,33.607178620656,1.31768454227175e-247,3.73462207384636e-245,"PLK2","10769"
"ENSG00000140943",1848.88777327798,-1.89361784325711,0.0564684067889976,-33.5341113896287,1.53476568293153e-246,4.26780691227262e-244,"MBTPS1","8720"
"ENSG00000102024",3591.26703399212,-1.70354659194414,0.0509601084330809,-33.4290221179804,5.19387080206786e-245,1.417541997794e-242,"PLS3","5358"
"ENSG00000135046",4581.91768778281,-1.46401591146561,0.0439328997861455,-33.3239080186394,1.73983423040201e-243,4.66212307048452e-241,"ANXA1","301"
"ENSG00000081923",1549.06690179341,-2.52988619990505,0.076009213668185,-33.2839412199311,6.59320121325797e-243,1.73518927644636e-240,"ATP8B1","5205"
"ENSG00000163346",2917.79069939981,1.81056662202549,0.054703564230022,33.0977816072875,3.19849460413994e-240,8.27007253961657e-238,"PBXIP1","57326"
"ENSG00000187678",2363.67043987816,1.72415483190764,0.0522701775758638,32.985440491478,1.31368389276912e-238,3.3381160709709e-236,"SPRY4","81848"
"ENSG00000163017",4893.9021785664,-1.87095249166427,0.0567964576071391,-32.9413588538503,5.62516793178025e-238,1.40514788099284e-235,"ACTG2","72"
"ENSG00000152894",4900.8667898464,1.68614754698015,0.0515037591585238,32.7383393858756,4.44951425758026e-235,1.09294901880363e-232,"PTPRK","5796"
"ENSG00000143341",2279.33849385387,2.05720946159811,0.0629925111673954,32.6580005063032,6.16936916044143e-234,1.49056004404239e-231,"HMCN1","83872"
"ENSG00000115461",200904.539632615,1.27117471085745,0.0389873660702518,32.6047855750735,3.50824732184288e-233,8.33944339182587e-231,"IGFBP5","3488"
"ENSG00000104321",7567.20986030082,3.29744633697211,0.101231296318793,32.5733884369904,9.76966579472213e-233,2.28548149972404e-230,"TRPA1","8989"
"ENSG00000113721",11145.9451572206,1.38865862864532,0.0428974817470544,32.3715652315807,6.89936816145416e-230,1.58879512442987e-227,"PDGFRB","5159"
"ENSG00000164924",9585.69435022083,-1.33707455466014,0.0417126477006214,-32.0544158274617,1.90534235238147e-225,4.32014393683049e-223,"YWHAZ","7534"
